domain,domain_start,domain_end,optimal_youden_index,assay_source,metric,metric_std,optimal_youden_index_std,num_positive,num_negative,model
Large domain (N‑lobe),73,180,242.6,HXK4,0.47361487636683297,0.03467042091319595,130.37177608669754,201.0,1467.0,GOF/LOF
Small domain,1,64,191.6,HXK4,0.5208248421754333,0.021627267651437052,118.44956732719626,271.0,475.0,GOF/LOF
C‑terminal tail,301,465,135.2,HXK4,0.4997160828278776,0.020295270342970982,146.90200815509635,352.0,2740.0,GOF_10%
Hinge 1,65,72,31.2,HXK4,0.5270416024653313,0.07706594305236844,23.46699810372004,59.0,88.0,GOF_10%
Hinge 2,181,200,29.0,HXK4,0.5822926424333813,0.05529709827711732,13.038404810405298,22.0,346.0,GOF_10%
Large domain (C‑lobe),201,300,177.6,HXK4,0.5291082680957444,0.038558688164979656,107.00841088437862,230.0,1582.0,GOF_10%
Large domain (N‑lobe),73,180,84.6,HXK4,0.478196426367978,0.03520019360149754,65.32074708697077,95.0,1911.0,GOF_10%
Small domain,1,64,123.4,HXK4,0.49216020644101965,0.024311376785290797,68.51861061054872,99.0,1038.0,GOF_10%
C‑terminal tail,301,465,459.2,HXK4,0.5264870092900138,0.019327127525584558,147.10438470691483,761.0,2332.0,GOF_20%
Hinge 1,65,72,38.4,HXK4,0.5110078327469632,0.06774937945215617,19.60357110324545,78.0,69.0,GOF_20%
Hinge 2,181,200,35.4,HXK4,0.6265028501555447,0.04870157845466624,15.05988047761336,34.0,334.0,GOF_20%
Large domain (C‑lobe),201,300,232.2,HXK4,0.5179199163966717,0.022369050219264972,159.39479288860096,405.0,1407.0,GOF_20%
Large domain (N‑lobe),73,180,219.0,HXK4,0.47013838132775926,0.031900337410578274,139.93569951945787,187.0,1819.0,GOF_20%
Small domain,1,64,183.2,HXK4,0.5046946659637598,0.01896776574169583,112.61527427485136,249.0,888.0,GOF_20%
C‑terminal tail,301,465,134.8,HXK4,0.6136127663232965,0.03240625536477336,14.254823744964371,2905.0,187.0,LOF_10%
