round_num,auc,auc_std,optimal_youden_index,optimal_youden_index_std,assay_source,model,llr_auc,num_positive,num_negative
10,0.5305838087663832,0.005406879712867799,1502.4,334.99597012501505,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
11,0.5315834799000226,0.006891871148475036,1014.0,512.9449288178995,HXK4,GOF_20%,0.6889218141763416,1714.0,6856.0
1,0.5,0.0,0.0,0.0,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
2,0.526194137299138,0.015520299273639187,721.0,331.6195108855931,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
3,0.5437246242154089,0.01677282935807119,860.0,327.85057572009845,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
4,0.5367089418959845,0.028303676728926523,655.8,280.45712684829385,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
5,0.5473194417495566,0.01195844961267324,657.0,224.1026550489753,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
6,0.5558766917470862,0.013633626049076815,640.8,119.33649902691128,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
7,0.5500308179782227,0.022406808245266183,573.2,247.39684719090502,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
8,0.5551275904437788,0.020288426861822285,600.4,154.46294053914679,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
9,0.5548146340279139,0.02433727120005582,551.2,311.49831460218206,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
10,0.5540209962894949,0.018526025347803305,639.2,220.72426237276227,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
11,0.5568021126511162,0.014753381916750399,634.4,116.76814634137173,HXK4,LOF_10%,0.7743372544890417,7713.0,857.0
1,0.5,0.0,0.0,0.0,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
2,0.5267411956356969,0.019342717006497503,1177.4,331.64559397043104,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
3,0.5450645487796493,0.017675861844864794,1422.4,382.7098117373005,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
4,0.5439146374630492,0.02955577453255203,1291.0,211.61521684415797,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
5,0.5534441160203087,0.013967996590073306,1190.2,338.91916440354925,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
6,0.5584422838835816,0.011636488376746804,1095.6,100.17384888282973,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
7,0.5598887149259333,0.02041705150109524,1193.6,306.2920175257592,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
8,0.5614558562780878,0.01898541338359383,1156.8,271.83671569528644,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
9,0.5596259175149809,0.02386051879104294,1125.2,429.0654961657952,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
10,0.5576982906568262,0.016001228085583158,1157.6,309.2681684234574,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
11,0.5640830601145399,0.012369103970663084,1224.4,202.72838972378784,HXK4,LOF_20%,0.7895035938506281,6856.0,1714.0
1,0.5,0.0,0.0,0.0,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
2,0.5236126892997983,0.023501976376166436,219.4,115.51969529045685,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
3,0.5660714916659216,0.00966471894822346,235.4,36.36344318130504,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
4,0.5705357152666848,0.014646025619704281,236.0,80.36168241145776,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
5,0.5663782474653014,0.026007427942022633,256.2,46.526336627763854,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
6,0.5763914534230279,0.022034085797921103,248.6,33.84228124698452,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
7,0.5765764300016907,0.013884732954390452,240.0,59.36328831862332,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
8,0.5852015558314947,0.010335203051934075,296.0,43.174066289845804,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
9,0.5889595609330195,0.011546429252280487,298.6,56.58886816327041,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
10,0.5963488085629702,0.005931875249457681,224.2,36.71103376370652,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
11,0.5940075191948677,0.007269011521373998,225.0,54.92267291383405,PTEN,GOF/LOF,0.8435054319843476,288.0,1079.0
1,0.5,0.0,0.0,0.0,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
2,0.5130616316739071,0.00899251517974856,540.4,215.15413079929468,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
3,0.5112509769871556,0.008789511862476411,720.8,429.7478330370032,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
4,0.5214338941654065,0.007506349233214072,791.4,285.59201669514505,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
5,0.5233826968783083,0.014304695355536539,783.4,124.95119047051932,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
6,0.522804294194159,0.011116242030766648,737.4,160.01499929694089,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
7,0.5263884220269509,0.012590794536493649,819.0,256.99416335784747,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
8,0.5269830807314013,0.014267278762747793,707.4,247.2221672908803,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
9,0.5295452606219543,0.015477450810621659,636.2,283.8718020515599,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
10,0.5338701947502452,0.01042872968544588,760.2,163.3193191266728,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
11,0.5348810629130729,0.008760903310784808,740.2,178.5866736349608,PTEN,GOF_10%,0.662238251957761,726.0,6534.0
1,0.5,0.0,0.0,0.0,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
2,0.5189489105370254,0.015254963122745683,1164.0,447.5393837418111,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
3,0.5254896460219033,0.018072164716840554,844.0,448.1869029768719,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
4,0.5368196803445187,0.0038500942927275385,1180.8,295.7383979127499,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
5,0.5375751335536618,0.008788250623252343,1036.4,284.50975378710655,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
6,0.5351591636454114,0.008237373900123109,1076.4,343.5255449016856,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
7,0.538286893193298,0.005717876227770961,1391.4,300.3444689019593,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
